PGNDB136	Ala-Glu-mDpm-Ala-mDpm-Glu (2x amid)	SMILE	InChI
PGNDB137	Ala-Glu-mDpm-Ala-mDpm-Glu (1x amid)	SMILE	InChI
PGNDB138	Ala-Glu-mDpm-Ala-mDpm-Glu	SMILE	InChI
PGNDB139	3P-3P	SMILE	InChI
PGNDB140	GlcN-MurN-Tripeptid	SMILE	InChI
PGNDB141	AnhMurNAc-Penta	SMILE	InChI
PGNDB142	Dpm(-Ala-Ala)-Ala-Dpm-Ala-Dpm (3x amidiert)	SMILE	InChI
PGNDB143	Dpm(-Ala-Ala)-Ala-Dpm-Ala-Dpm (2x amidiert)	SMILE	InChI
PGNDB144	Dpm(-Ala-Ala)-Ala-Dpm-Ala-Dpm (1x amidiert)	SMILE	InChI
PGNDB145	Dpm(-Ala-Ala)-Ala-Dpm-Ala-Dpm	SMILE	InChI
PGNDB146	GlcN-MurNAc-Tripeptid	SMILE	InChI
PGNDB147	Tri-Tetra (2x amid)	SMILE	InChI
PGNDB148	Tri-Tetra (amid)	SMILE	InChI
PGNDB149	MurNAc-6P-GlcNAc-anhMurNAc	SMILE	InChI
PGNDB150	Tri-Tetra	SMILE	InChI
PGNDB151	GlcNAc-anhMurNAc-Tri (amid)	SMILE	InChI
PGNDB152	GlcNAc-anhMurNAc-Tri	SMILE	InChI
PGNDB153	GlcN-MurNAc-Tetrapeptid	SMILE	InChI
PGNDB154	GlcNAc-MurNAc-Tri (amid)	SMILE	InChI
PGNDB155	GlcNAc-MurNAc-Tri	SMILE	InChI
PGNDB156	SDMPFEF (Phr-Peptid)	SMILE	InChI
PGNDB157	Dpm-Ala-Dpm-Tetra  (3x amidiert)	SMILE	InChI
PGNDB158	Dpm-Ala-Dpm-Tetra  (2x amidiert)	SMILE	InChI
PGNDB159	Dpm-Ala-Dpm-Tetra  (1x amidiert)	SMILE	InChI
PGNDB160	Dpm-Ala-Dpm-Tetra	SMILE	InChI
PGNDB161	GlcN-MurNAc-Tetrapeptid	SMILE	InChI
PGNDB162	Tetra-Tetra (2x amid)	SMILE	InChI
PGNDB163	Tetra-Tetra (1x amid)	SMILE	InChI
PGNDB164	Tetra-Tetra	SMILE	InChI
PGNDB165	GlcNAc-MurNAc-Tetra (amid)	SMILE	InChI
PGNDB166	GlcNAc-MurNAc-Tetra	SMILE	InChI
PGNDB167	(4P-Gly)-4P (2x amid)	SMILE	InChI
PGNDB168	(4P-Gly)-4P (1x amid)	SMILE	InChI
PGNDB169	(4P-Gly)-4P	SMILE	InChI
PGNDB170	Penta-Tetra (2x amid)	SMILE	InChI
PGNDB171	(GlcNAc-MurNAc)2	SMILE	InChI
PGNDB172	Penta-Tetra (1x amid)	SMILE	InChI
PGNDB173	Penta-Tetra	SMILE	InChI
PGNDB174	GlcNAc-MurNAc-6P-Linker	SMILE	InChI
PGNDB175	GlcNAc-MurNAc-Penta (1x amid)	SMILE	InChI
PGNDB176	GlcNAc-MurNAc-Penta	SMILE	InChI
PGNDB177	UDP-MurNAc-Tripeptid	SMILE	InChI
PGNDB178	Dpm-Tetra-Tetra  (3x amidiert)	SMILE	InChI
PGNDB179	Dpm-Tetra-Tetra (2x amidiert)	SMILE	InChI
PGNDB180	Dpm-Tetra-Tetra (1x amidiert)	SMILE	InChI
